,title,writer,pony,dialog
3,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?
5,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, sorry, girls... I've got a lot of studying to catch up on."
7,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,I know I've heard of the Elements of Harmony.
8,"Friendship is Magic, part 1",Lauren Faust,Spike,Ow!
9,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Spike! Spi-ike! Spike?
10,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?"
11,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, it was a gift for Moon Dancer, but..."
12,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh Spike, you know we don't have time for that sort of thing."
13,"Friendship is Magic, part 1",Lauren Faust,Spike,But we're on a break!
14,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"No, no, no... no, no, no! [grunts] Spike!"
15,"Friendship is Magic, part 1",Lauren Faust,Spike,It's over here!
16,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?"
17,"Friendship is Magic, part 1",Lauren Faust,Spike,Mare in the Moon? But that's just an old ponies' tale.
18,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! [gasp] Spike! Do you know what this means?"
19,"Friendship is Magic, part 1",Lauren Faust,Spike,No<U+0097> whoa!
20,"Friendship is Magic, part 1",Lauren Faust,Spike,Ow!
21,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Take a note please, to the Princess."
22,"Friendship is Magic, part 1",Lauren Faust,Spike,Okie dokie.
