index,title,writer,pony,dialog,emotion_chatgpt,season
3,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,...and harmony has been maintained in Equestria for generations since. Hmm... Elements of Harmony. I know I've heard of those before... but where?,surprise,1
5,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, sorry, girls... I've got a lot of studying to catch up on.",neutral,1
7,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,I know I've heard of the Elements of Harmony.,neutral,1
9,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Spike! Spi-ike! Spike?,surprise,1
10,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"There you are. Quick, find me that old copy of Predictions and Prophecies. What's that for?",surprise,1
11,"Friendship is Magic, part 1",Lauren Faust,Spike,"Well, it was a gift for Moon Dancer, but...",sadness,1
12,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh Spike, you know we don't have time for that sort of thing.",neutral,1
13,"Friendship is Magic, part 1",Lauren Faust,Spike,But we're on a break!,sadness,1
14,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"No, no, no... no, no, no! [grunts] Spike!",anger,1
15,"Friendship is Magic, part 1",Lauren Faust,Spike,It's over here!,joy,1
16,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Ah! Elements, Elements, E, E, E... Aha! Elements of Harmony, see: Mare in the Moon?",surprise,1
17,"Friendship is Magic, part 1",Lauren Faust,Spike,Mare in the Moon? But that's just an old ponies' tale.,surprise,1
18,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Mare, mare... aha! The Mare in the Moon, myth from olden pony times. A powerful pony who wanted to rule Equestria, defeated by the Elements of Harmony and imprisoned in the moon. Legend has it that on the longest day of the thousandth year, the stars will aid in her escape, and she will bring about nighttime eternal! [gasp] Spike! Do you know what this means?",surprise,1
19,"Friendship is Magic, part 1",Lauren Faust,Spike,No<U+0097> whoa!,surprise,1
21,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Take a note please, to the Princess.",neutral,1
22,"Friendship is Magic, part 1",Lauren Faust,Spike,Okie dokie.,joy,1
23,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"My dearest teacher, my continuing studies of pony magic have led me to discover that we are on the precipice of disaster!",fear,1
24,"Friendship is Magic, part 1",Lauren Faust,Spike,Hold on. Preci... preci...,surprise,1
25,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Threshold.,neutral,1
26,"Friendship is Magic, part 1",Lauren Faust,Spike,Threh...,neutral,1
27,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Uh, brink? Ugh, that something really bad is about to happen! For you see, the mythical Mare in the Moon is in fact Nightmare Moon, and she's about to return to Equestria, and bring with her eternal night! Something must be done to make sure this terrible prophecy does not come true. I await your quick response. Your faithful student, Twilight Sparkle.",fear,1
28,"Friendship is Magic, part 1",Lauren Faust,Spike,Twi... light Spar... kle. Got it!,surprise,1
29,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Great! Send it.,joy,1
30,"Friendship is Magic, part 1",Lauren Faust,Spike,Now?,neutral,1
31,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Of course!,joy,1
32,"Friendship is Magic, part 1",Lauren Faust,Spike,"Uh, I dunno, Twilight, Princess Celestia's a little busy getting ready for the Summer Sun Celebration. And it's like, the day after tomorrow.",neutral,1
33,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"That's just it, Spike. The day after tomorrow is the thousandth year of the Summer Sun Celebration! It's imperative that the Princess is told right away!",joy,1
34,"Friendship is Magic, part 1",Lauren Faust,Spike,Impera... impera...,fear,1
35,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Important!,neutral,1
36,"Friendship is Magic, part 1",Lauren Faust,Spike,Whoa!,surprise,1
37,"Friendship is Magic, part 1",Lauren Faust,Spike,"Okay, okay! [inhale] There, it's on its way. But I wouldn't hold your breath...",surprise,1
38,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,"Oh, I'm not worried, Spike. The Princess trusts me completely. In all the years she's been my mentor she's never once doubted me.",joy,1
39,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,See? I knew she would want to take immediate action.,joy,1
40,"Friendship is Magic, part 1",Lauren Faust,Spike,"[clears throat] My dearest, most faithful student Twilight. You know that I value your diligence and that I trust you completely.",joy,1
41,"Friendship is Magic, part 1",Lauren Faust,Twilight Sparkle,Mm-hm!,joy,1
42,"Friendship is Magic, part 1",Lauren Faust,Spike,...but you simply must stop reading those dusty old books!,anger,1
